source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
700576_Single_Hair_Cell_OHSU_5cell_High_090618_1_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	700576_Single_Hair_Cell_OHSU_5cell_High_090618_1_30um_031218_300bar	5	41	700576_Single_Hair_Cell_OHSU_5cell_High_090618_1_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	700576_Single_Hair_Cell_OHSU_5cell_High_090618_1_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/700576_Single_Hair_Cell_OHSU_5cell_High_090618_1_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_High_030819_R9_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_High_030819_R9_YF30um_350bar	1	42	Single_Hair_Cell_OHSU_1cell_High_030819_R9_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_High_030819_R9_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_High_030819_R9_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
700740_Single_Hair_Cell_OHSU_3cell_High_090618_2_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	700740_Single_Hair_Cell_OHSU_3cell_High_090618_2_30um_031218_300bar	3	43	700740_Single_Hair_Cell_OHSU_3cell_High_090618_2_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	700740_Single_Hair_Cell_OHSU_3cell_High_090618_2_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/700740_Single_Hair_Cell_OHSU_3cell_High_090618_2_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701253_Single_Hair_Cell_OHSU_5cell_Low_090618_4_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	701253_Single_Hair_Cell_OHSU_5cell_Low_090618_4_30um_031218_300bar	5	44	701253_Single_Hair_Cell_OHSU_5cell_Low_090618_4_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701253_Single_Hair_Cell_OHSU_5cell_Low_090618_4_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701253_Single_Hair_Cell_OHSU_5cell_Low_090618_4_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701368_Single_Hair_Cell_OHSU_1cell_Low_090618_2_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	701368_Single_Hair_Cell_OHSU_1cell_Low_090618_2_30um_031218_300bar	1	45	701368_Single_Hair_Cell_OHSU_1cell_Low_090618_2_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701368_Single_Hair_Cell_OHSU_1cell_Low_090618_2_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701368_Single_Hair_Cell_OHSU_1cell_Low_090618_2_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701295_Single_Hair_Cell_OHSU_1cell_Low_090618_1_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	701295_Single_Hair_Cell_OHSU_1cell_Low_090618_1_30um_031218_300bar	1	46	701295_Single_Hair_Cell_OHSU_1cell_Low_090618_1_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701295_Single_Hair_Cell_OHSU_1cell_Low_090618_1_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701295_Single_Hair_Cell_OHSU_1cell_Low_090618_1_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_Low_030819_R2_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_Low_030819_R2_YF30um_350bar	1	47	Single_Hair_Cell_OHSU_1cell_Low_030819_R2_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_Low_030819_R2_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_Low_030819_R2_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_High_030819_R3_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_High_030819_R3_YF30um_350bar	1	48	Single_Hair_Cell_OHSU_1cell_High_030819_R3_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_High_030819_R3_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_High_030819_R3_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_NoiseControl_030819_R1_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_NoiseControl_030819_R1_YF30um_350bar	1	49	Single_Hair_Cell_OHSU_NoiseControl_030819_R1_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_NoiseControl_030819_R1_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_NoiseControl_030819_R1_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
700579_Single_Hair_Cell_OHSU_5cell_High_090618_2_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	700579_Single_Hair_Cell_OHSU_5cell_High_090618_2_30um_031218_300bar	5	50	700579_Single_Hair_Cell_OHSU_5cell_High_090618_2_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	700579_Single_Hair_Cell_OHSU_5cell_High_090618_2_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/700579_Single_Hair_Cell_OHSU_5cell_High_090618_2_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
701129_Single_Hair_Cell_OHSU_3cell_High_090618_4_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	701129_Single_Hair_Cell_OHSU_3cell_High_090618_4_30um_031218_300bar	3	51	701129_Single_Hair_Cell_OHSU_3cell_High_090618_4_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	701129_Single_Hair_Cell_OHSU_3cell_High_090618_4_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/701129_Single_Hair_Cell_OHSU_3cell_High_090618_4_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_High_030819_R7_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_High_030819_R7_YF30um_350bar	1	52	Single_Hair_Cell_OHSU_1cell_High_030819_R7_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_High_030819_R7_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_High_030819_R7_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_NoiseControl_030819_R2_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_NoiseControl_030819_R2_YF30um_350bar	1	53	Single_Hair_Cell_OHSU_NoiseControl_030819_R2_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_NoiseControl_030819_R2_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_NoiseControl_030819_R2_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_20cell_Low_030819_R1_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	Single_Hair_Cell_OHSU_20cell_Low_030819_R1_YF30um_350bar	20	54	Single_Hair_Cell_OHSU_20cell_Low_030819_R1_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_20cell_Low_030819_R1_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_20cell_Low_030819_R1_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_Low_030819_R9_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_Low_030819_R9_YF30um_350bar	1	55	Single_Hair_Cell_OHSU_1cell_Low_030819_R9_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_Low_030819_R9_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_Low_030819_R9_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_High_030819_R6_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_High_030819_R6_YF30um_350bar	1	56	Single_Hair_Cell_OHSU_1cell_High_030819_R6_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_High_030819_R6_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_High_030819_R6_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_Low_030819_R10_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_Low_030819_R10_YF30um_350bar	1	57	Single_Hair_Cell_OHSU_1cell_Low_030819_R10_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_Low_030819_R10_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_Low_030819_R10_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_Low_030819_R8_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_Low_030819_R8_YF30um_350bar	1	58	Single_Hair_Cell_OHSU_1cell_Low_030819_R8_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_Low_030819_R8_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_Low_030819_R8_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Single_Hair_Cell_OHSU_1cell_High_030819_R10_YF30um_350bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	single cell	FACS	Single_Hair_Cell_OHSU_1cell_High_030819_R10_YF30um_350bar	1	59	Single_Hair_Cell_OHSU_1cell_High_030819_R10_YF30um_350bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Single_Hair_Cell_OHSU_1cell_High_030819_R10_YF30um_350bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/Single_Hair_Cell_OHSU_1cell_High_030819_R10_YF30um_350bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
700567_Single_Hair_Cell_OHSU_20cell_High_090618_4_30um_031218_300bar	Gallus gallus	Ear hair cell	not available	not available	not available	not available	Ear hair cell	cell	pooled	FACS	700567_Single_Hair_Cell_OHSU_20cell_High_090618_4_30um_031218_300bar	20	60	700567_Single_Hair_Cell_OHSU_20cell_High_090618_4_30um_031218_300bar	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	700567_Single_Hair_Cell_OHSU_20cell_High_090618_4_30um_031218_300bar.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014256/700567_Single_Hair_Cell_OHSU_20cell_High_090618_4_30um_031218_300bar.raw	1	label free sample	not applicable	not applicable	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=MS:1002481	100% NCE	not available	not available	not applicable	not applicable	NanoPOTS chip	not applicable	nanoPOTS nanowells	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
