source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Jurkat_500nL_1ng_CH1_G3	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH1_G3	1	52	Jurkat_500nL_1ng_CH1_G3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_G3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_G3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_B17	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_B17	1	53	50umx15cm_SPE50_100nL_8mz_B17	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_B17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_B17.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH1_I4	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH1_I4	1	54	Jurkat_500nL_1ng_CH1_I4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_I4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_I4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH2_E4	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH2_E4	1	55	Jurkat_500nL_1ng_CH2_E4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH2_E4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH2_E4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH1_C8	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH1_C8	1	56	HeLa_500nL_1ng_CH1_C8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH1_C8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH1_C8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL25ng_CH2_K9	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL25ng_CH2_K9	1	57	500nL25ng_CH2_K9	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL25ng_CH2_K9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL25ng_CH2_K9.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL1ng_CH2_blank_M20	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	empty	FACS	empty	0	58	500nL1ng_CH2_blank_M20	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH2_blank_M20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH2_blank_M20.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH1_F3	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH1_F3	1	59	Jurkat_500nL_1ng_CH1_F3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_F3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH1_D6	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH1_D6	1	60	Jurkat_500nL_1ng_CH1_D6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_D6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_D6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
200nL_CH2_F5	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	200nL_CH2_F5	1	61	200nL_CH2_F5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	200nL_CH2_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/200nL_CH2_F5.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_F15	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_F15	1	62	50umx15cm_SPE50_100nL_8mz_F15	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_F15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_F15.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_D21	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_D21	1	63	50umx15cm_SPE50_100nL_8mz_D21	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_D21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_D21.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_E17	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_E17	1	64	50umx15cm_SPE50_100nL_8mz_E17	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_E17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_E17.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH1_L7	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH1_L7	1	65	HeLa_500nL_1ng_CH1_L7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH1_L7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH1_L7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
QC_10ng_WWA_CH2_BD21_first	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	bulk control	FACS	QC_10ng_WWA_CH2_BD21_first	not applicable	66	QC_10ng_WWA_CH2_BD21_first	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QC_10ng_WWA_CH2_BD21_first.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/QC_10ng_WWA_CH2_BD21_first.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH1_K4	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH1_K4	1	67	Jurkat_500nL_1ng_CH1_K4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_K4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_K4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH2_E10	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH2_E10	1	68	HeLa_500nL_1ng_CH2_E10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH2_E10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH2_E10.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL1ng_CH1_G16	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL1ng_CH1_G16	1	69	500nL1ng_CH1_G16	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH1_G16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH1_G16.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
50umx15cm_SPE50_100nL_8mz_E14	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	50umx15cm_SPE50_100nL_8mz_E14	1	70	50umx15cm_SPE50_100nL_8mz_E14	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	50umx15cm_SPE50_100nL_8mz_E14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/50umx15cm_SPE50_100nL_8mz_E14.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
QC_10ng_WWA_CH1_BD20_third	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	bulk control	FACS	QC_10ng_WWA_CH1_BD20_third	not applicable	71	QC_10ng_WWA_CH1_BD20_third	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	QC_10ng_WWA_CH1_BD20_third.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/QC_10ng_WWA_CH1_BD20_third.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
HeLa_500nL_1ng_CH2_E7	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	HeLa_500nL_1ng_CH2_E7	1	72	HeLa_500nL_1ng_CH2_E7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_500nL_1ng_CH2_E7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/HeLa_500nL_1ng_CH2_E7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH1_D5	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH1_D5	1	73	Jurkat_500nL_1ng_CH1_D5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_D5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_D5.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH1_BLANK_O5	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	empty	FACS	empty	0	74	Jurkat_500nL_1ng_CH1_BLANK_O5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH1_BLANK_O5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH1_BLANK_O5.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL25ng_CH1_E15	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL25ng_CH1_E15	1	75	500nL25ng_CH1_E15	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL25ng_CH1_E15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL25ng_CH1_E15.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
500nL1ng_CH1_K18	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	500nL1ng_CH1_K18	1	76	500nL1ng_CH1_K18	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	500nL1ng_CH1_K18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/500nL1ng_CH1_K18.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Jurkat_500nL_1ng_CH2_G6	Homo sapiens	Jurkat cell	not available	not available	not available	not available	not available	not available	not available	HeLa; Jurkat	cell	single cell	FACS	Jurkat_500nL_1ng_CH2_G6	1	77	Jurkat_500nL_1ng_CH2_G6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_500nL_1ng_CH2_G6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD043355/Jurkat_500nL_1ng_CH2_G6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	200% NCE	not available	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
